Confirmed,Deaths,Recovered,Days_Number
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
2,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
3,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
2,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
15,0,0,3
36,0,1,3
27,0,0,3
10,0,0,3
2,0,0,3
53,0,2,3
23,0,0,3
3,0,0,3
8,0,0,3
2,1,0,3
4,1,0,3
9,0,0,3
2,0,0,3
549,24,31,3
24,0,0,3
1,0,0,3
9,0,0,3
18,0,0,3
3,0,0,3
4,0,0,3
2,0,0,3
2,0,0,3
0,0,0,3
5,0,0,3
15,0,0,3
20,0,1,3
1,0,0,3
15,0,0,3
8,0,0,3
0,0,0,3
2,0,0,3
5,0,0,3
43,0,1,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
2,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
2,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
2,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
3,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
